338	California State University Fullerton	加州州立大学富尔顿分校	California
339	Coe College	柯伊学院	Iowa
340	New School New York	美国新学院大学	New York
341	Biola University	比奥拉大学	California
342	Gordon College	戈登学院	Massachusetts
343	Bethel University	伯特利大学	Minnesota
344	La Salle University	拉萨尔大学	Pennsylvania
345	San Jose State University	圣何塞州立大学	California
346	Brooklyn College	纽约市立大学布鲁克林学院	New York
347	Saint John's College	圣约翰学院 新墨西哥	New Mexico
348	Messiah College	弥赛亚学院	Pennsylvania
349	Michigan Technological University	密歇根理工大学	Michigan
350	University of the Pacific	太平洋大学 加州	California
351	Brigham Young University	杨百翰大学爱达荷分校	Idaho
352	Eckerd College	埃克德学院	Florida
353	Washington & Jefferson College	华盛顿杰弗逊学院	Pennsylvania
354	California State University Long Beach	加州州立大学长滩分校	California
355	Wagner College	瓦格纳学院	New York
356	Berea College	伯里亚学院	Kentucky
357	Merrimack College	梅里马克学院	Massachusetts
358	University of Maryland Baltimore County	马里兰大学巴尔的摩分校	Maryland
359	University of Mississippi	密西西比大学	Mississippi
360	Concordia College Moorhead	康科迪亚学院摩海德分校	Minnesota
361	University of Illinois Chicago	伊利诺斯大学芝加哥分校	Illinois
362	Arizona State University	亚利桑那州立大学	Arizona
363	Hamline University	哈姆林大学	Minnesota
364	Franciscan University of Steubenville	圣芳济会大学斯托本维尔	Ohio
365	Mississippi State University	密西西比州立大学	Mississippi
366	Mount Saint Mary's College	圣玛丽山学院 洛杉矶	California
367	Kansas State University	堪萨斯州立大学	Kansas
368	George Fox University	乔治福克斯大学	Oregon
369	Oklahoma State University	俄克拉荷马州立大学	Oklahoma
370	Washington State University	华盛顿州立大学	Washington
371	Rochester Institute of Technology	罗彻斯特理工学院	New York
372	Central College	美国中央学院	Iowa
373	University at Albany	纽约州立大学奥尔巴尼分校	New York
374	Randolph College	兰道夫学院	Virginia
375	William Jewell College	威廉贾威尔大学	Missouri
376	Saint Vincent College	圣文森特学院	Pennsylvania
377	Salisbury University	索尔兹伯里大学	Maryland
378	Louisiana Tech University	路易斯安那理工大学	Louisiana
379	New Mexico Institute of Mining and Technology	新墨西哥矿业及科技学院	New Mexico
380	Appalachian State University	阿巴拉契亚州立大学	North Carolina
381	Christopher Newport University	克里斯托弗纽波特大学	Virginia
382	Hollins University	霍林斯大学	Virginia
383	Birmingham Southern College	伯明翰南方学院	Alabama
384	Towson University	陶森大学	Maryland
385	Morehouse College	莫尔豪斯学院	Georgia
386	Georgetown College	乔治城大学	Kentucky
387	John Brown University	约翰布朗大学	Arkansas
388	Missouri University of Science and Technology	密苏里科技大学	Missouri
389	University of Houston	休斯顿大学	Texas
390	Saint Mary's University San Antonio	圣玛丽大学圣安东尼奥分校	Texas
391	University of Cincinnati	辛辛那提大学	Ohio
392	Bellarmine University	贝拉明大学	Kentucky
393	State University of New York at New Paltz	纽约州立大学新帕尔茨分校	New York
394	Lehman College	纽约城市大学赫伯特莱曼学院	New York
395	California State University Los Angeles	加州州立大学洛杉矶分校	California
396	University of Minnesota Morris	明尼苏达大学莫里斯分校	Minnesota
397	Temple University	天普大学	Pennsylvania
398	Stetson University	斯泰森大学	Florida
399	Howard University	霍华德大学 华盛顿	District of Columbia
400	Saint Joseph's College	圣若瑟书院	New York
401	Berry College	贝里学院	Georgia
402	Texas Tech University	德州理工大学	Texas
403	Wisconsin Lutheran College	威斯康星路德学院	Wisconsin
404	Simpson College	辛普森学院	Iowa
405	University of Central Florida	中佛罗里达大学	Florida
406	Huntington University	亨廷顿大学	Indiana
407	Weber State University	韦伯州立大学	Utah
408	Dordt College	多尔特学院	Iowa
409	California State University San Bernardino	加州州立大学圣伯纳迪诺分校	California
410	Le Moyne College	莱莫恩学院	New York
411	North Dakota State University	北达科他州立大学	North Dakota
412	Baldwin Wallace University	鲍德温华莱士大学	Ohio
413	Warren Wilson College	沃伦威尔逊学院	North Carolina
414	Marietta College	玛丽埃塔学院	Ohio
415	Augustana College	奥古斯塔纳学院 南达科他	South Dakota
416	New Jersey Institute of Technology	新泽西理工学院	New Jersey
417	University of La Verne	拉文大学	California
