243	saintmarys.edu	Saint Mary's College	圣玛丽学院	Indiana
244	cuny.edu	Baruch College	纽约市立大学巴鲁克学院	
245	sbc.edu	Sweet Briar College	斯威特布赖尔学院	
246	truman.edu	Truman State University	杜鲁门州立大学	
247	iit.edu	Illinois Institute of Technology	伊利诺理工大学	 
248	augustana.edu	Augustana College	奥古斯塔纳学院 伊利诺伊州	Illinois
249	stonybrook.edu	Stony Brook University	纽约州立大学石溪分校	
250	arizona.edu	University of Arizona	亚利桑那大学	 
251	jcu.edu	John Carroll University	约翰 卡罗尔大学	
252	citadel.edu	The Citadel	塞特多大学	college
253	iwu.edu	Illinois Wesleyan University	伊利诺伊州卫斯理大学	
254	agnesscott.edu	Agnes Scott College	阿格尼斯斯科特学院	
255	umw.edu	University of Mary Washington	玛丽华盛顿大学	
256	fisk.edu	Fisk University	费斯克大学	
257	taylor.edu	Taylor University	泰勒大学	
258	hanover.edu	Hanover College	汉诺威学院	
259	rockhurst.edu	Rockhurst University	罗克赫斯特大学	
260	collegeofidaho.edu	College of Idaho	爱达荷大学	 
261	iastate.edu	Iowa State University	爱荷华州立大学	 
262	sdsu.edu	San Diego State University	圣地亚哥州立大学	 
263	ucr.edu	University of California Riverside	加州大学河滨分校	 
264	plu.edu	Pacific Lutheran University	太平洋路德大学	
265	scranton.edu	University of Scranton	斯克兰顿大学	
266	seattleu.edu	Seattle University	西雅图大学	 
267	snc.edu	Saint Norbert College	圣诺伯特学院	
268	bryant.edu	Bryant University	布莱恩特大学	
269	geneseo.edu	State University of New York at Geneseo	纽约州立大学杰纳苏分校	 
270	valpo.edu	Valparaiso University	瓦尔帕莱索大学	
271	austincollege.edu	Austin College	奥斯汀学院	
272	ithaca.edu	Ithaca College	伊萨卡学院	
273	csupomona.edu	California State Polytechnic University, Pomona	加州州立理工大学波莫纳分校	 
274	onu.edu	Ohio Northern University	北俄亥俄大学	
275	etown.edu	Elizabethtown College	伊丽莎白学院	
276	pacificu.edu	Pacific University Oregon	太平洋大学 俄勒冈	
277	whittier.edu	Whittier College	惠蒂尔学院	
278	bradley.edu	Bradley University	布拉德利大学	
279	csbsju.edu	College of Saint Benedict	圣本笃学院	
280	unl.edu	University of Nebraska Lincoln	内布拉斯加大学林肯分校	 
281	callutheran.edu	California Lutheran University	加州路德大学	
282	covenant.edu	Covenant College	圣约学院	
283	washcoll.edu	Washington College	华盛顿学院	MD
284	cuny.edu	Hunter College	纽约市立大学亨特学院	
285	goucher.edu	Goucher College	古彻学院	
286	buffalo.edu	University at Buffalo	纽约州立大学布法罗分校	 
287	cedarville.edu	Cedarville University	锡达维尔大学	
288	westminster-mo.edu	Westminster College	威斯特敏斯特学院 密苏里	MO
289	cuny.edu	Queens College	纽约市立大学皇后学院	
290	westminster.edu	Westminster College	威斯特敏斯特学院 宾州	PA
291	mills.edu	Mills College	米尔斯学院	
292	utk.edu	University of Tennessee Knoxville	田纳西州诺克斯维尔大学	 
293	uark.edu	University of Arkansas	阿肯色大学	 
294	doane.edu	Doane College	多恩学院	
295	asbury.edu	Asbury University	阿斯伯里大学	
296	touro.edu	Touro College	图罗学院	
297	ku.edu	University of Kansas	堪萨斯大学	 
298	cornellcollege.edu	Cornell College	康奈尔学院	
299	simmons.edu	Simmons College	西蒙斯学院	
300	montana.edu	Montana State University Bozeman	蒙大拿州立大学波兹曼分校	
301	usu.edu	Utah State University	犹他州立大学	 
302	masters.edu	The Master's College	美国马斯特学院与神学院	Santa Clarita
303	stevens.edu	Stevens Institute of Technology	史蒂文斯理工学院	
304	duq.edu	Duquesne University	杜肯大学	
305	quinnipiac.edu	Quinnipiac University	昆尼皮亚克大学	
306	lvc.edu	Lebanon Valley College	黎巴嫩谷学院	
307	evansville.edu	University of Evansville	埃文斯维尔大学	
308	ripon.edu	Ripon College	里彭学院	
309	wwu.edu	Western Washington University	西华盛顿大学	 
310	colostate.edu	Colorado State University	科罗拉多州立大学	 
311	albion.edu	Albion College	阿尔比恩学院	
312	luc.edu	Loyola University Chicago	芝加哥洛约拉大学	
313	goshen.edu	Goshen College	戈申学院	
314	spelman.edu	Spelman College	斯佩尔曼学院	
315	houghton.edu	Houghton College	霍顿学院	
316	uu.edu	Union University	美国联合大学	TN
317	obu.edu	Ouachita Baptist University	沃希托浸会大学	
318	nebrwesleyan.edu	Nebraska Wesleyan University	内布拉斯加卫斯理大学	 
319	susqu.edu	Susquehanna University	萨斯奎汉纳大学	
320	depaul.edu	DePaul University	德保罗大学	
321	chapman.edu	Chapman University	查普曼大学	
322	xavier.edu	Xavier University	泽维尔大学	
323	oregonstate.edu	Oregon State University	俄勒冈州立大学	
324	marist.edu	Marist College	玛利斯特学院	
325	wesleyancollege.edu	Wesleyan College Macon	卫斯理学院	
326	spu.edu	Seattle Pacific University	西雅图太平洋大学	
327	drexel.edu	Drexel University	德雷塞尔大学	
328	nwc.edu	University of Northwestern St Paul	西北大学圣保罗分校	
329	drew.edu	Drew University	德鲁大学	
330	siena.edu	Siena College	锡耶纳学院	
331	shu.edu	Seton Hall University	西顿霍尔大学	
332	nwciowa.edu	Northwestern College Orange City	西北学院 爱荷华	
333	millsaps.edu	Millsaps College	米尔萨普学院	
334	erskine.edu	Erskine College	厄斯金学院	
335	ua.edu	University of Alabama	阿拉巴马大学	 
336	uky.edu	University of Kentucky	肯塔基大学	 
337	marlboro.edu	Marlboro College	万宝路学院	
338	fullerton.edu	California State University Fullerton	加州州立大学富尔顿分校	 
339	coe.edu	Coe College	柯伊学院	
340	newschool.edu	The New School	美国新学院大学	Greenwich
341	biola.edu	Biola University	比奥拉大学	
342	gordon.edu	Gordon College	戈登学院	
343	bethel.edu	Bethel University	伯特利大学	
344	lasalle.edu	La Salle University	拉萨尔大学	
345	sjsu.edu	San Jose State University	圣何塞州立大学	 
346	cuny.edu	Brooklyn College	纽约市立大学布鲁克林学院	
347	sjca.edu	Saint John's College	圣约翰学院 新墨西哥	NM
348	messiah.edu	Messiah College	弥赛亚学院	
349	mtu.edu	Michigan Technological University	密歇根理工大学	 
350	pacific.edu	University of the Pacific	加州太平洋大学	Stockton CA
351	byui.edu	Brigham Young University 	杨百翰大学爱达荷分校	Utah
352	eckerd.edu	Eckerd College	埃克德学院	
353	washjeff.edu	Washington & Jefferson College	华盛顿杰弗逊学院	
354	csulb.edu	California State University Long Beach	加州州立大学长滩分校	 
355	wagner.edu	Wagner College	瓦格纳学院	
356	berea.edu	Berea College	伯里亚学院	
357	merrimack.edu	Merrimack College	梅里马克学院	
358	umaryland.edu	University of Maryland Baltimore County	马里兰大学巴尔的摩分校	 
359	olemiss.edu	University of Mississippi	密西西比大学	 
360	concordiacollege.edu	Concordia College 	康科迪亚学院摩海德分校	Moorhead
361	uic.edu	University of Illinois Chicago	伊利诺斯大学芝加哥分校	 
362	asu.edu	Arizona State University	亚利桑那州立大学	 
363	hamline.edu	Hamline University	哈姆林大学	
364	franciscan.edu	Franciscan University of Steubenville	圣芳济会大学斯托本维尔	
365	msstate.edu	Mississippi State University	密西西比州立大学	 
366	la.edu	Mount Saint Mary's College Los Angeles	圣玛丽山学院 洛杉矶	
367	k-state.edu	Kansas State University	堪萨斯州立大学	 
368	georgefox.edu	George Fox University	乔治福克斯大学	
369	okstate.edu	Oklahoma State University	俄克拉荷马州立大学	 
370	wsu.edu	Washington State University	华盛顿州立大学	 
371	rit.edu	Rochester Institute of Technology	罗彻斯特理工学院	
