330	Siena College	锡耶纳学院
331	Seton Hall University	西顿霍尔大学
332	Northwestern College	西北学院(奥兰治市)
333	Millsaps College	米尔萨普学院
334	Erskine College	厄斯金学院
335	University of Alabama	阿拉巴马大学
336	University of Kentucky	肯塔基大学
337	Marlboro College	万宝路学院
338	California State University, Fullerton	加州州立大学富尔顿分校
339	Coe College	柯伊学院
340	New School	美国新学院大学
341	Biola University	比奥拉大学
342	Gordon College	戈登学院
343	Bethel University	伯特利大学
344	La Salle University	拉萨尔大学
345	San Jose State University	圣何塞州立大学
346	CUNY, Brooklyn College	纽约市立大学布鲁克林学院
347	Saint John's College (NM)	圣约翰学院(圣达菲)
348	Messiah College	弥赛亚学院
349	Michigan Technological University	密歇根理工大学
350	University of the Pacific	太平洋大学
351	Brigham Young University, Idaho	杨百翰大学爱达荷分校
352	Eckerd College	埃克德学院
353	Washington & Jefferson College	华盛顿杰弗逊学院
354	California State University, Long Beach	加州州立大学长滩分校
355	Wagner College	瓦格纳学院
356	Berea College	伯里亚学院
357	Merrimack College	梅里马克学院
358	University of Maryland, Baltimore County	马里兰大学巴尔的摩分校
359	University of Mississippi	密西西比大学
360	Concordia College-Moorhead	康科迪亚学院摩海德分校
361	University of Illinois, Chicago	伊利诺斯大学芝加哥分校
362	Arizona State University	亚利桑那州立大学
363	Hamline University	哈姆林大学
364	Franciscan University of Steubenville	圣芳济会大学斯托本维尔
365	Mississippi State University	密西西比州立大学
366	Mount Saint Mary's College	圣玛丽山学院(洛杉矶)
367	Kansas State University	堪萨斯州立大学
368	George Fox University	乔治福克斯大学
369	Oklahoma State University	俄克拉荷马州立大学
370	Washington State University	华盛顿州立大学
371	Rochester Institute of Technology	罗彻斯特理工学院
372	Central College	美国中央学院
373	SUNY, Albany (University at Albany)	纽约州立大学奥尔巴尼分校
374	Randolph College	兰道夫学院
375	William Jewell College	威廉贾威尔大学
376	Saint Vincent College	圣文森特学院
377	Salisbury University	索尔兹伯里大学
378	Louisiana Tech University	路易斯安那理工大学
379	New Mexico Institute of Mining and Technology	新墨西哥矿业及科技学院
380	Appalachian State University	阿巴拉契亚州立大学
381	Christopher Newport University	克里斯托弗纽波特大学
382	Hollins University	霍林斯大学
383	Birmingham-Southern College	伯明翰南方学院
384	Towson University	陶森大学
385	Morehouse College	莫尔豪斯学院
386	Georgetown College	乔治城大学
387	John Brown University	约翰·布朗大学
388	Missouri University of Science and Technology	密苏里科技大学
389	University of Houston	休斯顿大学
390	Saint Mary's University, San Antonio	圣玛丽大学圣安东尼奥分校
391	University of Cincinnati	辛辛那提大学
392	Bellarmine University	贝拉明大学
393	SUNY, College at New Paltz	纽约州立大学新帕尔茨分校
394	CUNY, Lehman College	纽约城市大学赫伯特莱曼学院
395	California State University, Los Angeles	加州州立大学洛杉矶分校
396	University of Minnesota, Morris	明尼苏达大学莫里斯分校
397	Temple University	天普大学
398	Stetson University	斯泰森大学
399	Howard University	霍华德大学
400	Saint Joseph's College	圣若瑟书院
401	Berry College	贝里学院
402	Texas Tech University	德州理工大学
403	Wisconsin Lutheran College	威斯康星路德学院
404	Simpson College	辛普森学院
405	University of Central Florida	中佛罗里达大学
406	Huntington University	亨廷顿大学
407	Weber State University	韦伯州立大学
408	Dordt College	多尔特学院
409	California State University, San Bernardino	加州州立大学圣伯纳迪诺分校
410	Le Moyne College	莱莫恩学院
411	North Dakota State University	北达科他州立大学
412	Baldwin Wallace University	鲍德温华莱士大学
413	Warren Wilson College	沃伦威尔逊学院
414	Marietta College	玛丽埃塔学院
415	Augustana College (Sioux Falls)	奥古斯塔纳学院(南达科他)
416	New Jersey Institute of Technology	新泽西技术研究所
417	University of La Verne	拉文大学
418	Adelphi University	阿德菲大学
419	California State University, Chico	加州州立大学奇科分校
420	Saint Mary's University of Minnesota	明尼苏达圣玛丽大学
421	College of Charleston	查尔斯顿学院
422	Florida Institute of Technology	佛罗里达理工学院
423	University of New Mexico	新墨西哥大学
424	University of Rhode Island	罗德岛大学
425	Roanoke College	罗阿诺克学院
426	University of North Carolina, Wilmington	北卡罗莱纳州威尔明顿大学
427	CUNY, College of Staten Island	纽约城市大学斯塔滕岛学院
428	California State University, Fresno	加州州立大学弗雷斯诺分校
429	Randolph-Macon College	兰道尔夫-麦肯学院
430	California State University, Sacramento	加州州立大学萨克拉门托分校
431	College of St. Scholastica	美国圣斯考拉斯蒂卡学院
432	Clarke University	克拉克大学
433	University of New England	新英格兰大学
434	Centenary College of Louisiana	路易斯安那百年学院
435	University of South Florida	南佛罗里达大学
436	Wheeling Jesuit University	惠灵基督会大学
437	Spring Hill College	斯普林希尔学院
438	University of Montana	蒙大拿大学
439	Converse College	匡威学院
440	Ohio University	俄亥俄大学
441	Canisius College	凯尼休斯学院
442	New Mexico State University, Las Cruces	新墨西哥州州立大学拉斯克鲁塞斯分校
443	West Virginia University	西弗吉尼亚大学
444	Capital University	美国首都大学
445	University of Maine, Orono	缅因大学奥罗诺分校
446	University of Wisconsin, Eau Claire	威斯康星大学欧克莱尔分校
447	California Maritime Academy	加利福尼亚州海洋学院
448	North Greenville University	北格林维尔大学
449	Sonoma State University	索诺玛州立大学
450	University of Hawaii, Manoa	夏威夷大学马诺阿分校
451	Hofstra University	霍夫斯特拉大学
452	West Chester University of Pennsylvania	宾夕法尼亚西切斯特大学
453	Georgia State University	佐治亚州立大学
454	Azusa Pacific University	梓太平洋大学
455	Roger Williams University	罗杰·威廉姆斯大学
456	University of Idaho	爱达荷大学
457	Salem College	萨利姆学院
458	Carroll University	卡罗尔大学
459	Elmhurst College	艾姆赫斯特学院
460	Virginia Commonwealth University	弗吉尼亚联邦大学
461	Hartwick College	哈特威克学院
462	Jackson State University	杰克逊州立大学
463	Maryville University of Saint Louis	圣路易斯玛丽维尔大学
464	San Francisco State University	旧金山州立大学
465	University of Massachusetts, Lowell	马萨诸塞大学卢维尔分校
466	University of Alabama, Huntsville	阿拉巴马大学汉茨维尔分校
467	Immaculata University	依马库雷塔大学
468	Moravian College	摩拉维亚学院
469	University of North Dakota	北达科他州大学
470	Belmont University	贝尔蒙特大学
471	King's College	国王学院
472	Milwaukee School of Engineering	工程学院密尔沃基
473	Saint Edward's University	圣爱德华大学
474	Vanguard University of Southern California	南加州先锋大学
475	Lyon College	里昂学院
476	California State University, Stanislaus	加州州立大学斯坦尼斯洛斯分校
477	Mercer University	美世大学
478	Illinois State University	伊利诺伊州立大学
479	Lycoming College	林克明学院
480	University of Nevada, Reno	内华达大学雷诺分校
481	Saint John Fisher College	圣约翰费舍尔学院
482	Hiram College	海勒姆学院
483	CUNY, John Jay College Criminal Justice	纽约市立大学约翰·杰伊刑事司法学院
484	University of Northern Iowa	北艾奥瓦大学
485	Oklahoma Baptist University	俄克拉荷马浸会大学
486	University of South Dakota	南达科他大学
487	University of Alaska, Fairbanks	阿拉斯加费尔班克斯大学
