25,Northeastern University (Boston)|Boston College (Chestnut Hill)|Brandeis University (Waltham)|University of Massachusetts Boston (Boston)|Harvard University (Cambridge)|Amherst College (Amherst)|Brown University (Providence)|Boston University (Boston)|Massachusetts Institute of Technology (Cambridge)|Cornell University (Ithaca)|Middlebury College (Middlebury)|Suffolk University (Boston)|Wesleyan University (Middletown)|University of Massachusetts Amherst|Wellesley College (Wellesley)
26,Wesleyan University (Middletown)|Marist College (Poughkeepsie)|Sarah Lawrence College (Bronxville)|Barnard College (New York City)|Bard College (Red Hook)|Wellesley College (Wellesley)|Skidmore College (Saratoga Springs)|Swarthmore College (Swarthmore)|New York University (New York City)|Williams College (Williamstown)|Haverford College (Haverford)|Smith College (Northampton)|Amherst College (Amherst)|Middlebury College (Middlebury)|State University of New York at New Paltz (New Paltz)
27,"United States Air Force Academy (Colorado Springs)|United States Military Academy (West Point)|United States Coast Guard Academy (New London)|United States Merchant Marine Academy (Kings Point)|Virginia Military Institute (Lexington city)|Naval Postgraduate School (Monterey)|Johns Hopkins University (Baltimore)|St. John's College (Annapolis)|University of Maryland, College Park (College Park)|Naval War College (Newport)"
28,"George Washington University (Washington, D.C.)|American University (Washington, D.C.)|Johns Hopkins University (Baltimore)|George Mason University (Fairfax)|Boston College (Chestnut Hill)|Howard University (Washington, D.C.)|University of Virginia (Charlottesville)|Duke University (Durham)|University of Maryland, College Park (College Park)|Columbia University|Harvard University (Cambridge)|Northwestern University (Evanston)|University of Pennsylvania (Philadelphia)|New York University (New York City)|Brown University (Providence)"
29,Wesleyan University (Middletown)|Tufts University|Mount Holyoke College (South Hadley)|Smith College (Northampton)|Williams College (Williamstown)|Brandeis University (Waltham)|Vassar College (Poughkeepsie)|Barnard College (New York City)|Boston College (Chestnut Hill)|Babson College (Wellesley)|Wesleyan College (Macon)|Radcliffe College (Cambridge)|Harvard University (Cambridge)|Northeastern University (Boston)|Massachusetts Institute of Technology (Cambridge)
30,Bowdoin College (Brunswick)|University of Vermont (Burlington)|Wesleyan University (Middletown)|Tufts University|Williams College (Williamstown)|Norwich University (Northfield)|Colby College (Waterville)|Dartmouth College|Bates College (Lewiston)|Pomona College (Claremont)|Trinity College (Hartford)|Connecticut College (New London)|Swarthmore College (Swarthmore)|Carleton College (Northfield)|Amherst College (Amherst)
31,Columbia University|Brown University (Providence)|Dartmouth College|University of Pennsylvania (Philadelphia)|Yale University|New York University (New York City)|Duke University (Durham)|Harvard University (Cambridge)|Carnegie Mellon University (Pittsburgh)|Princeton University (Princeton)|Stanford University (Stanford)|Massachusetts Institute of Technology (Cambridge)|Ithaca College (Ithaca)|University of Chicago (Chicago)|Johns Hopkins University (Baltimore)
32,University of Houston (Houston)|University of Texas at Austin (Austin)|Baylor University (Waco)|Vanderbilt University (Nashville)|Texas A&M University (College Station)|Cornell University (Ithaca)|Texas Southern University (Houston)|Brown University (Providence)|Duke University (Durham)|Baylor College of Medicine|Stanford University (Stanford)|University of Texas MD Anderson Cancer Center|Northwestern University (Evanston)|University of Houston–Downtown (Houston)|University of St. Thomas (Houston)
33,College of William & Mary|University of Richmond (Richmond)|Davidson College (Davidson)|University of Virginia (Charlottesville)|Virginia Military Institute (Lexington city)|Christopher Newport University (Newport News)|James Madison University (Harrisonburg)|Virginia Wesleyan College (Norfolk)|Hampden–Sydney College|Williams College (Williamstown)|Roanoke College (Salem)|Bridgewater College (Bridgewater)|Colgate University (Hamilton)|Sewanee: The University of the South (Sewanee)|Colby College (Waterville)
34,United States Naval Academy (Annapolis)|United States Military Academy (West Point)|United States Coast Guard Academy (New London)|United States Merchant Marine Academy (Kings Point)|University of Colorado Colorado Springs (Colorado Springs)|Air University|Embry–Riddle Aeronautical University (Daytona Beach)|University of Colorado Boulder (Boulder)|Colorado College (Colorado Springs)|Colorado State University (Fort Collins)|Air Force Institute of Technology
