189,Saint Anselm College,Saint Anselm College (Manchester)
190,Louisiana State University,Louisiana State University (Baton Rouge)
191,Saint Louis University,Saint Louis University (St. Louis)
192,University of Iowa,University of Iowa (Iowa City)
193,Ursinus College,Ursinus College (Collegeville)
194,College of the Ozarks,College of the Ozarks (Point Lookout)
195,Baylor University,Baylor University (Waco)
196,Bentley University,Bentley University (Waltham)
197,Southwestern University,Southwestern University (Georgetown)
198,University of Pittsburgh,University of Pittsburgh (Pittsburgh)
199,Manhattan College,Manhattan College (New York City)
200,University of Wyoming,University of Wyoming (Laramie)
201,Gustavus Adolphus College,Gustavus Adolphus College (St. Peter)
202,"University of Oklahoma, Norman",University of Oklahoma (Norman)
203,Samford University,Samford University (Birmingham)
204,Auburn University,Auburn University (Auburn)
205,Carroll College,Carroll College (Helena)
206,The Catholic University of America,"The Catholic University of America (Washington, D.C.)"
207,Saint Mary's College of Maryland,St. Mary's College of Maryland (St. Mary's City)
208,Marquette University,Marquette University (Milwaukee)
209,Northeastern University,Northeastern University (Boston)
210,Wittenberg University,Wittenberg University (Springfield)
211,United States Merchant Marine Academy,United States Merchant Marine Academy (Kings Point)
212,University of Dallas,University of Dallas (Irving)
213,University of Tulsa,University of Tulsa (Tulsa)
214,University of San Francisco,University of San Francisco (San Francisco)
215,"CUNY, City College",City College of New York (New York City)
216,Texas Christian University,Texas Christian University (Fort Worth)
218,"University of California, Santa Cruz","University of California, Santa Cruz (Santa Cruz)"
219,Saint Mary's College of California,Saint Mary's College of California (Moraga)
220,Calvin College,Calvin College (Grand Rapids)
221,Stonehill College,Stonehill College (Easton)
222,"University of Massachusetts, Amherst",University of Massachusetts Amherst
223,University of San Diego,University of San Diego (San Diego)
224,Rollins College,Rollins College (Winter Park)
225,Allegheny College,Allegheny College (Meadville)
226,Florida State University,Florida State University (Tallahassee)
227,Saint Joseph's University,Saint Joseph's University (Philadelphia)
228,Emerson College,Emerson College (Boston)
229,University of Saint Thomas,University of St. Thomas (Saint Paul)
230,"University of Missouri, Columbia",University of Missouri (Columbia)
231,Whitworth University,Whitworth University (Spokane)
232,George Mason University,George Mason University (Fairfax)
233,Clarkson University,Clarkson University (Potsdam)
234,Fairfield University,Fairfield University (Fairfield)
235,University of Oregon,University of Oregon (Eugene)
236,Lake Forest College,Lake Forest College (Lake Forest)
237,Luther College,Luther College (Decorah)
238,Gonzaga University,Gonzaga University (Spokane)
239,Butler University,Butler University (Indianapolis)
240,Linfield College,Linfield College (McMinnville)
241,"SUNY, College of Environmental Science and Forestry",State University of New York College of Environmental Science and Forestry (Syracuse)
242,University of Dayton,University of Dayton (Dayton)
243,Saint Mary's College,Saint Mary's College (Notre Dame)
244,"CUNY, Baruch College",Baruch College (New York City)
245,Sweet Briar College,Sweet Briar College (Sweet Briar)
246,Truman State University,Truman State University (Kirksville)
247,Illinois Institute of Technology,Illinois Institute of Technology (Chicago)
248,Augustana College (Rock Island),Augustana College (Rock Island)
249,"SUNY, Stony Brook (Stony Brook University)",Stony Brook University (Stony Brook)
250,University of Arizona,University of Arizona (Tucson)
251,John Carroll University,John Carroll University (University Heights)
252,The Citadel,"The Citadel, The Military College of South Carolina (Charleston)"
253,Illinois Wesleyan University,Illinois Wesleyan University (Bloomington)
254,Agnes Scott College,Agnes Scott College (Decatur)
255,University of Mary Washington,University of Mary Washington (Fredericksburg)
256,Fisk University,Fisk University (Nashville)
257,Taylor University,Taylor University
258,Hanover College,Hanover College (Hanover)
259,Rockhurst University,Rockhurst University (Kansas City)
260,College of Idaho,College of Idaho (Caldwell)
261,Iowa State University,Iowa State University (Ames)
262,San Diego State University,San Diego State University (San Diego)
263,"University of California, Riverside","University of California, Riverside (Riverside)"
264,Pacific Lutheran University,Pacific Lutheran University (Tacoma)
265,University of Scranton,University of Scranton (Scranton)
266,Seattle University,Seattle University (Seattle)
267,Saint Norbert College,St. Norbert College (De Pere)
268,Bryant University,Bryant University (Smithfield)
269,"SUNY, Geneseo",State University of New York at Geneseo (Geneseo)
270,Valparaiso University,Valparaiso University (Valparaiso)
271,Austin College,Austin College (Sherman)
272,Ithaca College,Ithaca College (Ithaca)
273,"California State Polytechnic University, Pomona","California State Polytechnic University, Pomona (Pomona)"
274,Ohio Northern University,Ohio Northern University (Ada)
275,Elizabethtown College,Elizabethtown College (Elizabethtown)
277,Whittier College,Whittier College (Whittier)
278,Bradley University,Bradley University (Peoria)
279,College of Saint Benedict,College of Saint Benedict (St. Joseph)
280,"University of Nebraska, Lincoln",University of Nebraska–Lincoln (Lincoln)
281,California Lutheran University,California Lutheran University (Thousand Oaks)
282,Covenant College,Covenant College (Lookout Mountain)
283,Washington College,Washington College (Chestertown)
284,"CUNY, Hunter College",Hunter College (New York City)
285,Goucher College,Goucher College (Baltimore)
286,"SUNY, Buffalo (University at Buffalo)",University at Buffalo (Buffalo)
287,Cedarville University,Cedarville University (Cedarville)
289,"CUNY, Queens College","Queens College, City University of New York (New York City)"
290,Westminster College (New Wilmington),Westminster College (New Wilmington)
291,Mills College,Mills College (Oakland)
292,"University of Tennessee, Knoxville",University of Tennessee (Knoxville)
293,University of Arkansas,University of Arkansas (Fayetteville)
294,Doane College,Doane College (Crete)
295,Asbury University,Asbury University (Wilmore)
296,Touro College,Touro College of Osteopathic Medicine (New York City)
297,University of Kansas,University of Kansas (Lawrence)
298,Cornell College,Cornell College (Mount Vernon)
299,Simmons College,Simmons College (Boston)
300,"Montana State University, Bozeman",Montana State University (Bozeman)
301,Utah State University,Utah State University (Logan)
302,The Master's College,The Master's College (Santa Clarita)
303,Stevens Institute of Technology,Stevens Institute of Technology (Hoboken)
304,Duquesne University,Duquesne University (Pittsburgh)
305,Quinnipiac University,Quinnipiac University (Hamden)
306,Lebanon Valley College,Lebanon Valley College
308,Ripon College,Ripon College (Ripon)
309,Western Washington University,Western Washington University (Bellingham)
310,Colorado State University,Colorado State University (Fort Collins)
311,Albion College,Albion College (Albion)
312,Loyola University Chicago,Loyola University Chicago (Chicago)
313,Goshen College,Goshen College (Goshen)
314,Spelman College,Spelman College (Atlanta)
315,Houghton College,Houghton College (Caneadea)
316,Union University,Union University (Jackson)
317,Ouachita Baptist University,Ouachita Baptist University
319,Susquehanna University,Susquehanna University (Selinsgrove)
320,DePaul University,DePaul University (Chicago)
321,Chapman University,Chapman University (Orange)
322,Xavier University,Xavier University (Cincinnati)
323,Oregon State University,Oregon State University (Corvallis)
324,Marist College,Marist College (Poughkeepsie)
325,"Wesleyan College, Macon",Wesleyan College (Macon)
326,Seattle Pacific University,Seattle Pacific University (Seattle)
327,Drexel University,Drexel University (Philadelphia)
328,"University of Northwestern, St. Paul",University of Northwestern – St. Paul (Saint Paul)
329,Drew University,Drew University (Madison)
330,Siena College,Siena College (Colonie)
331,Seton Hall University,Seton Hall University (South Orange)
332,Northwestern College,Northwestern College (Orange City)
333,Millsaps College,Millsaps College (Jackson)
334,Erskine College,"Erskine College (Due West, South Carolina)"
335,University of Alabama,University of Alabama (Tuscaloosa)
336,University of Kentucky,University of Kentucky (Lexington)
337,Marlboro College,Marlboro College
338,"California State University, Fullerton","California State University, Fullerton (Fullerton)"
339,Coe College,Coe College (Cedar Rapids)
341,Biola University,Biola University (La Mirada)
342,Gordon College,Gordon College (Wenham)
343,Bethel University,Bethel University (Saint Paul)
344,La Salle University,La Salle University (Philadelphia)
345,San Jose State University,San Jose State University (San Jose)
346,"CUNY, Brooklyn College",Brooklyn College (Brooklyn)
348,Messiah College,Messiah College (Mechanicsburg)
349,Michigan Technological University,Michigan Technological University (Houghton)
350,University of the Pacific,University of the Pacific (Stockton)
351,"Brigham Young University, Idaho",Brigham Young University–Idaho (Rexburg)
352,Eckerd College,Eckerd College (St. Petersburg)
353,Washington & Jefferson College,Washington & Jefferson College (Washington)
354,"California State University, Long Beach","California State University, Long Beach (Long Beach)"
355,Wagner College,Wagner College (New York City)
356,Berea College,Berea College (Berea)
357,Merrimack College,Merrimack College (North Andover)
358,"University of Maryland, Baltimore County","University of Maryland, Baltimore County (Baltimore)"
359,University of Mississippi,University of Mississippi (Oxford)
360,Concordia College—Moorhead,Concordia College (Moorhead)
361,"University of Illinois, Chicago",University of Illinois at Chicago
362,Arizona State University,Arizona State University (Tempe)
363,Hamline University,Hamline University (Saint Paul)
364,Franciscan University of Steubenville,Franciscan University of Steubenville (Steubenville)
365,Mississippi State University,Mississippi State University (Starkville)
367,Kansas State University,Kansas State University (Manhattan)
368,George Fox University,George Fox University (Newberg)
369,Oklahoma State University,Oklahoma State University–Stillwater (Stillwater)
370,Washington State University,Washington State University (Pullman)
371,Rochester Institute of Technology,Rochester Institute of Technology (Rochester)
372,Central College,Central College (Pella)
373,"SUNY, Albany (University at Albany)","University at Albany, SUNY (Albany)"
374,Randolph College,Randolph College (Lynchburg)
375,William Jewell College,William Jewell College (Liberty)
376,Saint Vincent College,Saint Vincent College (Latrobe)
377,Salisbury University,Salisbury University (Salisbury)
378,Louisiana Tech University,Louisiana Tech University (Ruston)
379,New Mexico Institute of Mining and Technology,New Mexico Institute of Mining and Technology (Socorro)
380,Appalachian State University,Appalachian State University (Boone)
381,Christopher Newport University,Christopher Newport University (Newport News)
382,Hollins University,Hollins University
383,Birmingham-Southern College,Birmingham–Southern College (Birmingham)
384,Towson University,Towson University (Towson)
385,Morehouse College,Morehouse College (Atlanta)
386,Georgetown College,Georgetown College (Georgetown)
387,John Brown University,John Brown University (Siloam Springs)
388,Missouri University of Science and Technology,Missouri University of Science and Technology (Rolla)
389,University of Houston,University of Houston (Houston)
390,"Saint Mary's University, San Antonio","St. Mary's University, Texas (San Antonio)"
391,University of Cincinnati,University of Cincinnati (Cincinnati)
392,Bellarmine University,Bellarmine University (Louisville)
393,"SUNY, College at New Paltz",State University of New York at New Paltz (New Paltz)
394,"CUNY, Lehman College",Lehman College (The Bronx)
395,"California State University, Los Angeles","California State University, Los Angeles (Los Angeles)"
396,"University of Minnesota, Morris",University of Minnesota Morris (Morris)
397,Temple University,Temple University (Philadelphia)
398,Stetson University,Stetson University (DeLand)
399,Howard University,"Howard University (Washington, D.C.)"
400,Saint Joseph's College,Saint Joseph's College (Rensselaer)
401,Berry College,"Berry College (Mount Berry, Georgia)"
402,Texas Tech University,Texas Tech University (Lubbock)
403,Wisconsin Lutheran College,Wisconsin Lutheran College (Milwaukee)
404,Simpson College,Simpson College (Indianola)
405,University of Central Florida,University of Central Florida (Orlando)
406,Huntington University,Huntington University (Huntington)
407,Weber State University,Weber State University (Ogden)
408,Dordt College,Dordt College (Sioux Center)
409,"California State University, San Bernardino","California State University, San Bernardino (San Bernardino)"
410,Le Moyne College,Le Moyne College (Syracuse)
411,North Dakota State University,North Dakota State University (Fargo)
412,Baldwin Wallace University,Baldwin Wallace University (Berea)
413,Warren Wilson College,Warren Wilson College (Swannanoa)
414,Marietta College,Marietta College (Marietta)
415,Augustana College (Sioux Falls),Augustana College (Sioux Falls)
416,New Jersey Institute of Technology,New Jersey Institute of Technology (Newark)
417,University of La Verne,University of La Verne (La Verne)
418,Adelphi University,Adelphi University (Garden City)
419,"California State University, Chico","California State University, Chico (Chico)"
420,Saint Mary's University of Minnesota,Saint Mary's University of Minnesota (Winona)
